"Headline"
"'One of us': Ugandan pride in New York mayor with roots in their country"
"'My skin was peeling' - the African women tricked into making Russian drones"
"Curfew lifted in Tanzania's main city after election unrest"
"Drone strike hits funeral in Sudan, killing many mourners"
"Son who sued parents must stay at Ghana boarding school, judge rules"
"Anti-migrant group ordered to stop blocking foreigners from South African healthcare"
"Morocco declares public holiday to mark UN approval of its Western Sahara plan"
"He made his money selling camels and gold. Now this warlord controls half of Sudan"
"'I was accused of spying and beaten' - a boy's escape from captured Sudan city"
"Reports of mass killings in Sudan have echoes of its dark past"
"'We saw people murdered in front of us' - Sudan siege survivors speak to the BBC"
"New videos show executions after RSF militia takes key Sudan city"
"I built this 'AI aunt' for women after family tragedy in South Africa"
"Egypt's Grand Museum opens, displaying Tutankhamun tomb in full for first time"
"A coronation not a contest - Tanzania's first female president faces little opposition"
"The 92-year-old president who never loses"
"Sudan's fertile region where food is rotting amid famine and war"
"Attacks on people like me happen every time my country has an election"
"'It became one of the children' - Kenyan family on adopting orphaned cheetah cub"
"Finery and frailty: Africa's top shots"
"Morocco sweat as PSG star Hakimi ruled out for 'several weeks'"
"'Drug addiction' ends Williams' Zimbabwe career"
"Line-up for expanded 16-team Wafcon 2026 decided"
"India beat South Africa for historic World Cup win"
"Holders Nigeria lead qualifiers for 2026 Wafcon"
"We will never accept stolen votes, says Cameroon opposition leader"
"Tyson hails Congolese roots on Rumble in the Jungle visit"
"Thousands of grief-stricken mourners attend Raila Odinga's funeral"
"The moment Madagascar's new president was sworn in"
"Police fire tear gas at crowds mourning former Kenyan prime minister"
"Live: World Service for Africa"
"Focus on Africa Podcast"
"This is Africa"
"Are Christians being persecuted in Nigeria as Trump claims?"
"Guinea's coup leader enters presidential race"
"The start-up creating science kits for young Africans"
"Agony for families as landslide death toll climbs in Uganda and Kenya"
"Public barred as Tanzanian president sworn in"
"Trump tells military to prepare for 'action' against Islamist militants in Nigeria"
"I built this 'AI aunt' for women after family tragedy in South Africa"
"Kenyan landslide kills 21 after heavy rainfall"
"Tanzania president wins election as hundreds feared dead in unrest"
"'I was accused of spying and beaten' - a boy's escape from captured Sudan city"
"Tanzania poll protesters defy army chief as concern mounts over casualties"
"More than 60,000 flee Sudanese city after its capture by RSF militia - UN"
"Reports of mass killings in Sudan have echoes of its dark past"
